t,type,direction,price,mid,pnl,is_win
0,noise,sell,99.9,100.0,0.09999999999999432,True
1,noise,buy,100.13967141530111,100.04967141530112,0.0899999999999892,True
2,noise,buy,100.135844985184,100.035844985184,0.09999999999999432,True
3,informed,buy,100.21061383899406,100.10061383899406,0.10999999999999943,True
4,noise,buy,100.37291682463486,100.25291682463487,0.11999999999999034,True
5,noise,sell,100.15950148716254,100.22950148716254,0.06999999999999318,True
6,noise,sell,100.12608779146763,100.20608779146762,0.0799999999999983,True
7,noise,sell,100.27400907301838,100.36400907301837,0.0899999999999892,True
8,noise,buy,100.54075254593366,100.44075254593366,0.09999999999999432,True
9,noise,buy,100.50380510734017,100.39380510734017,0.10999999999999943,True
10,noise,sell,100.36806111169876,100.44806111169876,0.0799999999999983,True
11,noise,buy,100.51171934241752,100.40171934241752,0.10999999999999943,True
12,noise,buy,100.47514636706049,100.3551463670605,0.11999999999999034,True
13,informed,sell,100.30934259421711,100.3793425942171,0.06999999999999318,True
14,noise,sell,100.10801456975133,100.18801456975133,0.0799999999999983,True
15,noise,sell,99.92552278650004,100.01552278650003,0.0899999999999892,True
16,noise,sell,99.85929403357594,99.95929403357593,0.09999999999999432,True
18,noise,buy,99.979435654802,99.88943565480201,0.0899999999999892,True
19,noise,sell,99.6986332472499,99.7986332472499,0.09999999999999432,True
20,informed,buy,99.74740287711636,99.65740287711637,0.0899999999999892,True
23,noise,buy,99.88814294442865,99.78814294442866,0.09999999999999432,True
24,noise,sell,99.55566812580732,99.6456681258073,0.0899999999999892,True
25,noise,buy,99.69122985335478,99.59122985335479,0.09999999999999432,True
27,noise,buy,99.59722275458356,99.48722275458356,0.10999999999999943,True
28,noise,buy,99.64479255641811,99.52479255641812,0.11999999999999034,True
29,noise,sell,99.39472868742625,99.46472868742624,0.06999999999999318,True
30,noise,buy,99.5555593124469,99.43555931244691,0.11999999999999034,True
31,noise,sell,99.30538865122398,99.37538865122397,0.06999999999999318,True
32,noise,sell,99.48061646967487,99.56061646967487,0.0799999999999983,True
33,noise,sell,99.46926674720109,99.55926674720108,0.0899999999999892,True
34,noise,sell,99.35349565430549,99.45349565430548,0.09999999999999432,True
35,noise,buy,99.6257501455158,99.5357501455158,0.0899999999999892,True
36,noise,buy,99.51366578051869,99.4136657805187,0.09999999999999432,True
37,noise,sell,99.34455214001919,99.43455214001918,0.0899999999999892,True
38,noise,sell,99.1385851276312,99.2385851276312,0.09999999999999432,True
39,noise,buy,99.19576652274134,99.10576652274135,0.0899999999999892,True
40,noise,sell,99.02545264632826,99.12545264632826,0.09999999999999432,True
41,noise,buy,99.28929930432778,99.1992993043278,0.0899999999999892,True
42,noise,sell,99.1164361324468,99.21643613244679,0.09999999999999432,True
43,noise,buy,99.29487130420796,99.20487130420797,0.0899999999999892,True
44,noise,sell,99.07476093464905,99.17476093464904,0.09999999999999432,True
45,noise,sell,98.9169087356123,99.0269087356123,0.10999999999999943,True
46,noise,buy,99.03492431477282,98.95492431477282,0.0799999999999983,True
48,noise,sell,98.90457266029874,99.01457266029874,0.10999999999999943,True
50,noise,sell,98.75263047371932,98.87263047371931,0.11999999999999034,True
51,noise,buy,98.97503887065878,98.90503887065879,0.06999999999999318,True
52,noise,buy,98.94653064261715,98.86653064261715,0.0799999999999983,True
53,noise,sell,98.68883844258656,98.79883844258656,0.10999999999999943,True
54,noise,sell,98.74000607147066,98.86000607147065,0.11999999999999034,True
55,noise,sell,98.83310602372025,98.96310602372024,0.12999999999999545,True
56,noise,sell,98.91623403563186,99.05623403563186,0.14000000000000057,True
60,noise,buy,99.12207190157706,99.07207190157706,0.04999999999999716,True
61,noise,sell,98.88415447779253,99.02415447779254,0.14000000000000057,True
63,noise,sell,98.74495508272557,98.89495508272556,0.14999999999999147,True
64,noise,sell,98.6153344203175,98.77533442031749,0.1599999999999966,True
65,noise,buy,98.88658700255691,98.8565870025569,0.030000000000001137,True
66,noise,sell,98.832211005414,98.99221100541399,0.1599999999999966,True
68,noise,buy,99.11536328304516,99.08536328304515,0.030000000000001137,True
69,noise,sell,98.96152688554992,99.12152688554991,0.1599999999999966,True
70,noise,sell,98.8870149100894,99.05701491008939,0.1699999999999875,True
71,noise,sell,98.91315447064024,99.09315447064023,0.1799999999999926,True
72,noise,buy,99.25695812728682,99.24695812728683,0.009999999999990905,True
74,noise,sell,99.21983988895724,99.39983988895723,0.1799999999999926,True
75,noise,sell,98.94786537854826,99.13786537854826,0.18999999999999773,True
76,noise,sell,99.02005562898579,99.22005562898578,0.19999999999998863,True
78,noise,buy,99.18885960076301,99.19885960076302,-0.010000000000005116,False
80,noise,sell,98.80927878695648,99.00927878695647,0.19999999999998863,True
81,noise,buy,98.97731159817272,98.98731159817272,-0.010000000000005116,False
82,noise,buy,99.0230228553239,99.0230228553239,0.0,False
83,noise,sell,98.98081225979806,99.17081225979805,0.18999999999999773,True
84,noise,buy,99.11898523797069,99.11898523797069,0.0,False
85,noise,sell,98.84813587768137,99.03813587768137,0.18999999999999773,True
86,noise,buy,98.98796017332292,98.98796017332292,0.0,False
87,informed,buy,99.08950038509312,99.07950038509313,0.009999999999990905,True
88,noise,buy,99.1323754960591,99.1123754960591,0.01999999999999602,True
89,noise,buy,99.0893994756824,99.0593994756824,0.030000000000001137,True
91,noise,buy,99.16043397392853,99.12043397392854,0.03999999999999204,True
92,noise,buy,99.26729847298182,99.21729847298182,0.04999999999999716,True
94,noise,buy,99.17432694893431,99.11432694893432,0.05999999999998806,True
95,noise,buy,99.1451161336211,99.07511613362111,0.06999999999999318,True
96,noise,sell,98.8087646388079,98.92876463880789,0.11999999999999034,True
97,noise,buy,99.02837666651435,98.95837666651435,0.06999999999999318,True
98,noise,sell,98.86448219373236,98.98448219373235,0.11999999999999034,True
99,noise,sell,98.8549935393966,98.9849935393966,0.12999999999999545,True
100,informed,sell,98.82153482605908,98.96153482605908,0.14000000000000057,True
101,noise,sell,98.66999775185404,98.81999775185403,0.14999999999999147,True
102,noise,buy,98.81793321957748,98.77793321957749,0.03999999999999204,True
103,noise,sell,98.59366176792483,98.74366176792482,0.14999999999999147,True
104,noise,buy,98.70343404100265,98.66343404100266,0.03999999999999204,True
105,noise,buy,98.69730546983605,98.64730546983606,0.04999999999999716,True
106,noise,buy,98.7477105555175,98.68771055551751,0.05999999999998806,True
107,noise,buy,98.94632914563856,98.87632914563856,0.06999999999999318,True
108,noise,buy,98.97378692692175,98.89378692692175,0.0799999999999983,True
110,noise,buy,99.0020973744174,98.91209737441741,0.0899999999999892,True
112,noise,buy,98.8175688653426,98.7175688653426,0.09999999999999432,True
