t,type,direction,price,mid,pnl,inventory,total_pnl,is_win
609,noise,sell,100.42097500461925,100.58953847122979,0.11856346661053578,-3,63.403903538752786,True
613,noise,buy,101.11379906297692,100.8730428680113,0.19075619496562696,-4,62.79414654337387,True
617,noise,buy,101.04694509214491,100.78815405064103,0.20879104150388345,-5,63.39249285435886,True
623,noise,sell,100.78395239253155,100.96325471692614,0.12930232439459816,-4,62.69629184732787,True
626,noise,buy,100.67425004068896,100.40717068042903,0.21707936025992752,-5,65.18770735357629,True
628,noise,buy,100.69617905374277,100.41715563087322,0.22902342286954253,-6,65.41680602422491,True
629,noise,buy,100.80680571927363,100.51819356220155,0.23861215707208033,-7,65.09919059332697,True
639,noise,buy,100.95858129219033,100.65945967694095,0.24912161524937632,-8,64.40944940540055,True
640,informed,sell,100.5722815558732,100.72407264454337,-0.2514907300977171,-7,64.0443367532514,False
644,noise,buy,100.78565482511135,100.48648912736927,0.24916569774208314,-8,66.00658707121215,True
646,noise,sell,100.72738908645358,100.87782483559047,0.10043574913688928,-7,63.02633715457932,True
647,noise,buy,101.18339471465536,100.88595255234958,0.24744216230578503,-8,63.26688529957141,True
651,noise,sell,100.71768897741826,100.87063744054056,0.10294846312229992,-7,63.5423546571659,True
653,informed,sell,100.68823133031037,100.84910277838928,-0.13559600038802272,-6,63.8539687403038,False
654,noise,sell,100.68215779487996,100.8506148144681,0.11845701958814629,-5,64.01335354341904,True
655,noise,sell,100.7684066068877,100.94490867645783,0.12650206957013382,-4,63.71838630304052,True
656,noise,sell,100.77829816673567,100.96303407129233,0.13473590455666057,-3,63.83062062825917,True
667,noise,sell,101.21880614756327,101.43781203043724,0.16900588287397228,-2,62.62529263369839,True
668,noise,buy,101.76013939968506,101.49056011374002,0.2195792859450421,-3,62.78937575303786,True
670,noise,sell,101.13589990498313,101.36291830786719,0.17701840288405607,-2,63.399319573540396,True
673,noise,sell,101.17534481463721,101.41418265470867,0.18883784007145438,-1,63.535628719928894,True
676,noise,buy,101.87561138116992,101.60232747454212,0.22328390662779612,-2,63.62076780672325,True
679,noise,buy,101.3395635785063,101.05411235886615,0.23545121964015153,-3,65.00264925771535,True
680,noise,sell,100.90332399617496,101.14031429729216,0.18699030111720277,-2,64.98103374355449,True
681,noise,sell,100.93184897242371,101.17510373897473,0.19325476655101853,-1,65.15470962674037,True
682,noise,sell,100.8652488656869,101.11328623476471,0.19803736907782082,0,65.4645645000282,True
683,noise,sell,100.70183603037736,100.95136892911313,0.19953289873576524,1,65.71409739876397,True
685,noise,sell,100.77304747095167,101.02413281715577,0.20108534620410695,2,66.0379466330107,True
687,noise,sell,101.0098113778124,101.26622514243377,0.2064137646213709,3,66.77854504818805,True
692,noise,buy,101.07387175815074,100.87306664682414,0.15080511132660207,2,65.79987467268577,True
694,noise,buy,101.28205099660373,101.08023833954883,0.1518126570549015,1,66.41603071519005,True
695,noise,buy,101.27585251190035,101.07063827337544,0.15521423852491695,0,66.61164488754157,True
696,informed,sell,100.82265604345021,101.03102632073166,-0.06561242577635369,1,66.82001516482302,False
698,noise,sell,100.87267781313625,101.09221169344056,0.16953388030431144,2,67.10073441783624,True
702,noise,buy,101.09756502538896,100.9052695247746,0.14229550061436386,1,66.91914558111867,True
703,noise,buy,101.36212849513977,101.16386704234299,0.14826145279678543,0,67.37600455148385,True
705,noise,sell,101.06376064664421,101.26709867028445,0.15333802364024224,1,67.57934257512409,True
713,noise,sell,101.06885125304491,101.28656624232896,0.16771498928404754,2,67.81652513645264,True
722,noise,sell,100.98810370331309,101.21648386261428,0.17838015930119583,3,67.90474053632448,True
723,noise,buy,101.3685479364655,101.18811318977781,0.13043474668769478,2,68.00006326450276,True
727,noise,sell,101.30892520134545,101.53669332866262,0.17776812731717656,3,68.92499166958953,True
728,noise,sell,101.48720588881005,101.72887976438427,0.1916738755742216,4,69.74322485232875,True
729,noise,sell,101.53641343712472,101.79357021670992,0.2071567795852019,5,70.25914344121651,True
731,noise,sell,101.31835231073269,101.59234630915336,0.2239939984206643,6,69.52701790185438,True
732,noise,sell,101.24710098754407,101.534639729017,0.23753874147292892,7,69.46831716250915,True
735,noise,buy,102.01133921378259,101.84113846099288,0.12020075278971092,6,71.78400903913007,True
741,noise,buy,101.83753215670367,101.65895508511204,0.12857707159163284,5,70.86948585543661,True
742,noise,sell,101.29603268401445,101.58191260519826,0.23587992118380613,6,70.77015337705154,True
746,noise,sell,101.16046705520198,101.4602285457986,0.24976149059662306,7,70.33981051125022,True
748,noise,sell,100.90765295980104,101.2178806164513,0.2602276566502553,8,68.9536026624694,True
750,noise,sell,100.72053498602142,101.04222226358708,0.2716872775656583,9,67.87002311712126,True
752,noise,buy,101.20003903090142,101.04564744850467,0.10439158239675521,8,68.0552413637763,True
753,noise,buy,101.31847020663409,101.1582183445961,0.11025186203799535,7,69.11606039454568,True
754,noise,sell,100.83660575312962,101.1444442385573,0.25783848542768056,8,69.32748013770174,True
756,noise,sell,100.66599088386639,100.98762395153189,0.27163306766550194,9,68.39455090916397,True
